学校,专业类,预测2024年总分
三亚学院,不限,485.33333333333576
三亚学院,不限选考科目,436.0
三亚学院,不限选考科目(中外合作办学专业),454.0
三亚学院,历史类类,480.0
三亚学院,物理类类,448.0
三峡大学,不限,524.6666666666642
三峡大学,不限选考科目,489.0
三峡大学,历史类类,518.0
三峡大学,物理类,580.1666666666715
三峡大学,物理类(必须选考),513.0
三峡大学,物理类(必须选考)(中外合作办学专业),508.0
三峡大学,物理类类,504.0
三峡大学(中外合作专业),物理类类,471.0
三峡大学科技学院,物理类,491.0
三峡大学科技学院,物理类(必须选考),455.0
三峡大学科技学院,物理类类,429.0
上海中侨职业技术大学,不限,425.0
上海中侨职业技术大学,物理类,425.0
上海中医药大学,物理类,682.25
上海中医药大学,物理类/生物(选考一门即可),578.0
上海中医药大学,物理类/生物(选考一门即可)(中外合作办学专业),552.0
上海中医药大学,物理类类,145.0
上海中医药大学(中外合作专业),物理类类,537.0
上海交通大学,不限,676.666666666667
上海交通大学,历史类类,557.0
上海交通大学,物理类,679.6470588235293
上海交通大学,物理类(必须选考),678.0
上海交通大学,物理类类,656.9999999999991
上海交通大学医学院,物理类,672.5714285714275
上海交通大学医学院,物理类(均须选考),672.0
上海交通大学医学院,物理类类,638.0
上海体育大学,不限,571.0
上海体育大学,物理类,561.0
上海体育学院,不限,616.0
上海体育学院,不限选考科目,531.0
上海体育学院,历史类类,537.0
上海体育学院,物理类,549.0
上海体育学院,物理类类,456.0
上海商学院,不限,527.0
上海商学院,不限选考科目,508.0
上海商学院,物理类,510.0
上海外国语大学,不限,622.8181818181818
上海外国语大学,不限选考科目,633.0
上海外国语大学,历史类类,531.0
上海外国语大学,物理类,633.0
上海外国语大学,物理类(必须选考),629.0
上海外国语大学,物理类类,657.0
上海大学,不限,619.1666666666666
上海大学,不限选考科目,634.0
上海大学,不限选考科目(中外合作办学专业),613.0
上海大学,历史类类,516.0
上海大学,物理类,627.5
上海大学,物理类(必须选考),623.0
上海大学,物理类类,658.0
上海大学(中外合作专业),物理类类,634.0
上海对外经贸大学,不限,568.0
上海对外经贸大学,不限选考科目,561.0
上海对外经贸大学,物理类类,566.0
上海工程技术大学,物理类类,518.0
上海师范大学,不限,585.0
上海师范大学,历史类,578.0
上海师范大学天华学院,不限,461.72727272727207
上海师范大学天华学院,不限选考科目,454.0
上海建桥学院,历史类类,480.0
上海建桥学院,物理类类,423.0
上海戏剧学院,不限,594.0
上海戏剧学院,不限选考科目,558.0
上海戏剧学院,历史类类,573.0
上海戏剧学院,物理类类,575.9999999999995
上海海事大学,不限,566.3333333333358
上海海事大学,不限选考科目,532.0
上海海事大学,物理类类,536.0
上海海洋大学,不限,552.0
上海海洋大学,不限选考科目,531.0
上海海洋大学,物理类,578.5000000000036
上海海洋大学,物理类(必须选考),537.0
上海海洋大学,物理类/生物(选考一门即可),542.0
上海海洋大学,物理类类,519.0
上海理工大学,不限,585.3571428571413
上海理工大学,不限选考科目,574.0
上海理工大学,不限选考科目(中外合作办学专业),565.0
上海理工大学,物理类,590.2142857142862
上海理工大学,物理类(必须选考),572.0
上海理工大学,物理类(必须选考)(中外合作办学专业),570.0
上海理工大学,物理类/生物(选考一门即可),573.0
上海理工大学,物理类类,587.0
上海理工大学(中外合作专业),物理类类,546.9999999999991
上海电力大学,不限,535.0
上海电力大学,不限选考科目,537.0
上海电力大学,历史类类,543.0
上海电力大学,物理类,593.6666666666679
上海电力大学,物理类(必须选考),554.0
上海电力大学,物理类类,545.0
上海立信会计金融学院,不限,540.6666666666679
上海立信会计金融学院,不限选考科目,532.0
上海立信会计金融学院,历史类类,556.0
上海立信会计金融学院,物理类,534.3333333333321
上海立信会计金融学院,物理类(选考一门即可),531.0
上海立信会计金融学院,物理类类,536.0
上海立达学院,不限,471.0
上海立达学院,物理类,448.0
上海财经大学,不限,641.0
上海财经大学,不限选考科目,641.0
上海财经大学,历史类类,530.0
上海财经大学,物理类,642.3333333333334
上海财经大学,物理类(必须选考),648.0
上海财经大学,物理类类,653.0
上海音乐学院,不限,589.3333333333321
上海音乐学院,不限选考科目,550.0
上海音乐学院,物理类类,589.0
上饶师范学院,不限,508.66666666666424
上饶师范学院,不限选考科目,474.0
上饶师范学院,历史类类,496.0
上饶师范学院,物理类,469.0
上饶师范学院,物理类(必须选考),467.0
上饶师范学院,物理类类,462.0
东北农业大学,不限,591.0
东北农业大学,不限选考科目,557.0
东北农业大学,物理类,581.6666666666679
东北农业大学,物理类(必须选考),554.0
东北农业大学,物理类/生物(选考一门即可),556.0
东北农业大学,物理类类,597.0
东北大学,不限,609.3333333333335
东北大学,不限选考科目,608.0
东北大学,历史类,625.0
东北大学,历史类类,533.0
东北大学,政治/历史类(选考一门即可),608.0
东北大学,物理类,632.1666666666661
东北大学,物理类(必须选考),619.0
东北大学,物理类/历史类/地理(选考一门即可),611.0
东北大学,物理类/生物(选考一门即可),612.0
东北大学,物理类类,635.0
东北大学,物理类／历史类,614.666666666667
东北大学秦皇岛分校,不限,597.6666666666661
东北大学秦皇岛分校,不限选考科目,584.0
东北大学秦皇岛分校,历史类类,554.0
东北大学秦皇岛分校,物理类,628.5
东北大学秦皇岛分校,物理类(必须选考),592.0
东北大学秦皇岛分校,物理类类,617.0
东北师范大学,不限,614.8333333333321
东北师范大学,不限选考科目,574.0
东北师范大学,不限选考科目(中外合作办学专业),558.0
东北师范大学,历史类,595.0
东北师范大学,历史类(必须选考),608.0
东北师范大学,历史类类,370.00000000001455
东北师范大学,政治+历史类(均须选考),594.0
东北师范大学,物理类,598.2333333333336
东北师范大学,物理类(均须选考)(中外合作办学专业),564.0
东北师范大学,物理类(必须选考),579.0
东北师范大学,物理类/历史类/地理(选考一门即可),603.0
东北师范大学,物理类类,589.0
东北师范大学(中外合作专业),历史类类,589.0
东北师范大学(中外合作专业),物理类类,580.0
东北师范大学人文学院,不限选考科目,468.0
东北师范大学人文学院,历史类类,480.0
东北林业大学,历史类类,479.0
东北林业大学,物理类,585.1666666666679
东北林业大学,物理类(必须选考),559.0
东北林业大学,物理类/生物(选考一门即可),560.0
东北林业大学,物理类类,622.0
东北电力大学,不限,521.6666666666679
东北电力大学,不限选考科目,478.0
东北电力大学,历史类类,493.0
东北电力大学,物理类,598.0
东北电力大学,物理类(必须选考),574.0
东北电力大学,物理类类,562.0
东北石油大学,物理类,502.16666666666424
东北石油大学,物理类(均须选考),490.0
东北石油大学,物理类(必须选考),474.0
东北石油大学,物理类类,118.0
东北财经大学,不限,586.333333333333
东北财经大学,不限选考科目,603.0
东北财经大学,历史类类,577.0
东北财经大学,物理类类,678.0
东华大学,不限,614.3333333333339
东华大学,不限选考科目,602.0
东华大学,物理类,612.3333333333339
东华大学,物理类(必须选考),599.0
东华大学,物理类(选考一门即可),594.0
东华大学,物理类类,608.0
东华理工大学,不限,487.66666666666697
东华理工大学,不限选考科目,493.0
东华理工大学,历史类类,499.0
东华理工大学,物理类,502.0
东华理工大学,物理类/生物(选考一门即可),473.0
东华理工大学,物理类类,467.0
东华理工大学长江学院,不限选考科目,452.0
东华理工大学长江学院,历史类类,480.0
东南大学,不限,647.0
东南大学,不限选考科目,638.0
东南大学,历史类类,526.0
东南大学,物理类,650.333333333333
东南大学,物理类(必须选考),639.0
东南大学,物理类/历史类/地理(选考一门即可),656.0
东南大学,物理类类,636.9999999999995
东南大学,物理类／历史类,645.0
中北大学,不限,509.0
中北大学,不限选考科目,498.0
中北大学,化学(必须选考),517.0
中北大学,历史类类,526.0
中北大学,物理类,543.8181818181838
中北大学,物理类(必须选考),508.0
中北大学,物理类(选考一门即可),515.0
中北大学,物理类/生物(选考一门即可),504.0
中北大学,物理类类,504.0
中北大学信息商务学院,不限选考科目,445.0
中北大学信息商务学院,历史类类,480.0
中北大学信息商务学院,物理类(必须选考),442.0
中北大学信息商务学院,物理类类,431.0
中华女子学院,不限,519.3333333333339
中华女子学院,不限选考科目,510.0
中华女子学院,历史类类,325.0
中华女子学院,物理类,531.6666666666679
中华女子学院,物理类(必须选考),505.0
中华女子学院,物理类类,495.0
中南大学,不限,634.0
中南大学,不限选考科目,624.0
中南大学,化学+生物(均须选考),637.0
中南大学,历史类类,526.0
中南大学,物理类,620.7777777777778
中南大学,物理类(均须选考),623.0
中南大学,物理类(必须选考),622.0
中南大学,物理类类,631.0
中南林业科技大学,不限,518.6666666666679
中南林业科技大学,不限选考科目,493.0
中南林业科技大学,历史类类,521.0
中南林业科技大学,物理类,512.636363636364
中南林业科技大学,物理类/生物(选考一门即可),492.0
中南林业科技大学,物理类类,495.0
中南民族大学,不限,535.0
中南民族大学,不限选考科目,524.0
中南民族大学,化学,539.3333333333358
中南民族大学,历史类类,538.0
中南民族大学,物理类,525.0
中南民族大学,物理类(选考一门即可),502.0
中南民族大学,物理类类,491.0
中南财经政法大学,不限,618.3333333333335
中南财经政法大学,不限选考科目,622.0
中南财经政法大学,历史类类,533.9999999999964
中南财经政法大学,物理类,608.0
中南财经政法大学,物理类类,625.9999999999998
中原工学院,不限,436.0
中原工学院,不限选考科目(中外合作办学专业),461.0
中原工学院,历史类类,493.0
中原工学院,物理类,487.66666666666424
中原工学院,物理类(选考一门即可)(中外合作办学专业),467.0
中原工学院,物理类类,457.0
中国人民公安大学,不限,627.6666666666661
中国人民公安大学,不限选考科目,611.0
中国人民大学,不限,672.6666666666665
中国人民大学,不限选考科目,671.0
中国人民大学,历史类类,581.0
中国人民大学,物理类,680.0
中国人民大学,物理类(必须选考),675.0
中国人民大学,物理类/历史类(选考一门即可),673.0
中国人民大学,物理类类,656.0
中国人民大学,物理类／历史类,671.0
